address,area,city,lat,lng,name,province
姚桥路与滨江路交叉口西北100米,京口区,镇江市,119.774446,32.156449,绿源电动车(姚桥店),江苏省
市建军东路858,亭湖区,盐城市,120.227229,33.431699,绿源电动车(迎宾大道店),江苏省
西大街78-9,海州区,连云港市,119.240590,34.477149,绿源电动车(板浦店),江苏省
渭塘镇渭中路74号,相城区,苏州市,120.653666,31.462211,绿源电动车(渭塘店),江苏省
春丰路小夏车行旁(春丰路加油站向西100米),相城区,苏州市,120.559149,31.429795,绿源电动车(黄埭店),江苏省
镇善东路183号附近,溧阳市,常州市,119.507791,31.308508,绿源电动车(溧阳市第三人民医院东北),江苏省
兴港西路与港口路交叉口东南50米,京口区,镇江市,119.668005,32.186476,绿源电动车(大港街道办事处南),江苏省
焦南公路东150米,江都区,扬州市,119.681937,32.476209,绿源电动车(宜陵店),江苏省
234省道奥克斯茭陵店旁,淮安区,淮安市,119.358598,33.682461,绿源电动车(茭陵店),江苏省
钟发路与阜建线交叉口西南50米,建湖县,盐城市,119.840096,33.546098,绿源电动车(钟庄店),江苏省
利民粮油批发部北50米(商业路东),泗洪县,宿迁市,118.305324,33.623618,绿源电动车(商业街店),江苏省
五瑞路与233省道交叉口西南50米,盐都区,盐城市,119.962627,33.208359,绿源电动车(尚庄专卖店),江苏省
人民路与曙光路交叉口北100米,盐都区,盐城市,119.871346,33.292835,绿源电动车(学富专卖店),江苏省
伊山北路36号附近,灌云县,连云港市,119.255084,34.305355,绿源电动车(向阳路店),江苏省
人民街85号,仪征市,扬州市,119.179263,32.268532,绿源电动车(仪征专卖店),江苏省
富安镇富东社区头富路,东台市,盐城市,120.485963,32.669811,绿源电动车(富安专卖店),江苏省
根思乡老叶小学桥对面,泰兴市,泰州市,120.077908,32.260739,绿源电动车(老叶专卖店),江苏省
天达佳园32-6,海陵区,泰州市,119.907781,32.500355,绿源电动车(天达佳园店),江苏省
姚泾北路12号,太仓市,苏州市,121.073750,31.563472,绿源电动车(姚泾北路店),江苏省
利北路东100米,射阳县,盐城市,120.111665,33.547971,绿源电动车(长荡店),江苏省
人民南路与智谋路交叉口西50米,建湖县,盐城市,120.044349,33.598997,绿源电动车(冈东专卖店),江苏省
斗沙线与沿河路交叉口西北50米,大丰区,盐城市,120.517026,33.418648,绿源电动车(三龙专卖店),江苏省
